Name,Date,Time,Type,Location
Science Olympiad,11/5/2025,3:00:00 PM,Club meeting,Room 319
"""Alice in Wonderland"" fall play",11/14/2025,7:00:00 PM,"Fall play. It actually runs for two nights: Friday, 11/14 and Saturday, 11/15",Auditorium
DECA,11/17/2025,3:00:00 PM,Club meeting,Room 208
Cooking club,11/13/2025,3:00:00 PM,Club meeting,Room 305
Multicultural Club,11/12/2025,3:05:00 PM,Club meeting,Room 325
Science Honor Society,11/5/2025,3:05:00 PM,Club meeting,Room 808
GSTA,11/18/2025,3:05:00 PM,Club meeting,Rm 323
Athletics ,11/4/2025,4:30:00 PM,Sports game,TZHS Gymnasium
French club ,11/18/2025,3:00:00 PM,Club meeting,C3
French Honor Society,11/19/2025,3:00:00 PM,Club meeting,C3
Academic League,11/12/2025,3:00:00 PM,Club meeting,813
Academic League,11/19/2025,3:00:00 PM,Club meeting,813
National Honor Society (old members only),11/13/2025,3:00:00 PM,Club meeting,library
